shape,threads,ours_ms,ours_gops,bitnet_ms,bitnet_gops
M256_K2080_N2048,1,3.15,692.3,13.47,161.9
M256_K2080_N2048,2,1.78,1227.4,6.97,312.8
M256_K2080_N2048,4,0.96,2262.3,3.58,609.9
M256_K2080_N2048,8,0.69,3140.9,2.08,1048.3
M256_K2080_N2048,16,0.88,2483.5,1.77,1232.4
M256_K2080_N2048,32,1.41,1543.0,1.80,1209.7
M256_K4160_N4096,1,12.40,703.3,51.23,170.3
M256_K4160_N4096,2,6.50,1342.3,25.99,335.6
M256_K4160_N4096,4,3.40,2565.1,13.24,658.7
M256_K4160_N4096,8,1.99,4394.4,7.18,1215.7
M256_K4160_N4096,16,2.03,4303.8,6.25,1395.1
M256_K4160_N4096,32,2.28,3819.3,5.39,1620.0
